あほらしい,-1
あやしい,-1
あやふや,-1
あらい,-1
あらっぽい,-1
あり,-1
ありふれる,-1
ある,-1
あわせ,1
あんぽんたん,-1
いかがわしい,-1
いかつい,-1
いぎたない,-1
いけ好かない,-1
いけ図々しい,-1
いこじ,-1
いじいじ,-1
いじける,-1
いじましい,-1
いぶかしい,-1
いまいち,-1
いまいましい,-1
いまひとつ,-1
いまわしい,-1
いま一つ,-1
いやがる,-1
いやしい,-1
いやらしい,-1
いろあせる,-1
いわく,-1
いんちき,-1
うじうじ,-1
うす汚い,-1
うとい,-1
うらめしい,-1
うら寂しい,-1
うら悲しい,-1
えげつない,-1
おこがましい,-1
おしい,-1
おせっかい,-1
おそい,-1
おそまつ,-1
おぞましい,-1
おためごかし,-1
おたんこなす,-1
おっかない,-1
おっくう,-1
おっさん,-1
おっちょこちょい,-1
おばさん,-1
おびやかす,-1
おもはゆい,-1
おんぼろ,-1
お節介,-1
お粗末,-1
かっこ,-1
かったるい,-1
かみ合う,-1
かん高い,-1
がさつ,-1
がっかり,-1
がつがつ,-1
がめつい,-1
ききにくい,-1
きちきち,-1
きつい,-1
きびしい,-1
きゅうきゅう,-1
ぎくしゃく,-1
ぎこちない,-1
ぎごち,-1
ぎすぎす,-1
ぎちぎち,-1
ぎゅうぎゅう,-1
ぎょうぎょうしい,-1
ぎょっと,-1
くしゃくしゃ,-1
くそ,-1
くだらない,-1
くどい,-1
ぐしゃぐしゃ,-1
ぐしょぐしょ,-1
ぐじゃぐじゃ,-1
ぐずぐず,-1
ぐずる,-1
ぐにゃぐにゃ,-1
ぐらぐら,-1
ぐらつく,-1
けがらわしい,-1
けしからん,-1
けちけち,-1
けちん坊,-1
けばけば,-1
けばけばしい,-1
けわしい,-1
けんのん,-1
げっそり,-1
こしゃく,-1
こすい,-1
こせこせ,-1
こっぴどい,-1
こっ酷い,-1
こてんこてん,-1
ごしゃごしゃ,-1
ごちゃごちゃ,-1
ごっちゃ,-1
ごてごて,-1
ごみごみ,-1
ご法度,-1
さもしい,-1
しかた,-1
しかつめらしい,-1
しつこい,-1
しどろ,-1
しどろもどろ,-1
しみったれる,-1
しょうが,-1
しょぼい,-1
しょぼしょぼ,-1
しらじらしい,-1
しわくちゃ,-1
しわしわ,-1
しんどい,-1
しんねり,-1
じじむさい,-1
じゃじゃ馬,-1
じゃま,-1
じれったい,-1
すかたん,-1
すげない,-1
すじ,-1
すたれる,-1
ずうずうしい,-1
ずるい,-1
ずれる,-1
ずんべらぼう,-1
せこい,-1
せせこましい,-1
せっかち,-1
せわしい,-1
せわしない,-1
そぐわない,-1
そそっかしい,-1
そっけ,-1
そらぞらしい,-1
ぞっと,-1
ぞんざい,-1
たけだけしい,-1
たじたじ,-1
たどたどしい,-1
たより,-1
だぶつく,-1
だらし,-1
だるい,-1
ちぐはぐ,-1
ちっぽけ,-1
ちび,-1
ちまちま,-1
ちゃち,-1
ちゃらっぽこ,-1
ちんちくりん,-1
ちんまり,-1
つかむ,-1
つたない,-1
